move_id,name_en,name_cn,type,category,power,accuracy,pp,effect
1,"10,000,000 Volt Thunderbolt",千万伏特,Electric,2,195,—,1,"10,000,000 Volt Thunderbolt is an Electric type Z-Move exclusive to Cap Pikachu . It is used with Thunderbolt . 10,000,000 Volt Thunderbolt deals damage and has a sharply increased critical hit ratio ( 1 ⁄ 2 instead of 1 ⁄ 24 )."
2,Absorb,吸取,Grass,2,20,100,25,"Absorb deals damage and the user will recover 50% of the HP drained. If the user is holding a Big Root , the move instead recovers 65% of the damage dealt (30% more than normal). If used on a Pokémon with the ability Liquid Ooze , the user instead loses the HP it would have otherwise gained."
3,Accelerock,冲岩,Rock,1,40,100,20,"Accelerock deals damage and has high priority. Moves with a higher priority always go first, regardless of a Pokémon's speed. If two moves with the same priority are used, the faster Pokémon goes first as usual."
4,Acid,溶解液,Poison,2,40,100,30,Acid deals damage and has a 10% chance of lowering the target's Special Defense by one stage. Stats can be lowered to a minimum of -6 stages each.
5,Acid Armor,溶化,Poison,3,—,—,20,Acid Armor raises the user's Defense by two stages. Stats can be raised to a maximum of +6 stages each.
6,Acid Downpour,强酸剧毒灭绝雨,Poison,—,—,—,1,"Acid Downpour is the Poison type Z-Move, introduced in Pokémon Sun/Moon."
7,Acid Spray,酸液炸弹,Poison,2,40,100,20,Acid Spray inflicts damage and lowers the target's Special Defense by two stages. Stats can be lowered to a minimum of -6 stages each.
8,Acrobatics,杂技,Flying,1,55,100,15,"Acrobatics deals damage, however, if the user is not holding an item, its power doubles to 110 . If the user is holding a Flying Gem , it is consumed before the Pokémon attacks, so it receives both boosts and increases Acrobatics' power to 143 (or 165 in Generation 5 ). Once the Gem is consumed Acrobatics' power for the rest of the battle will be 110."
9,Acupressure,点穴,Normal,3,—,—,30,"Acupressure raises a random stat - Attack, Defense, Speed, Special Attack, Special Defense, Accuracy or Evasion - by two stages. It will always choose a stat that is not already maximized. Stats can be raised to a maximum of +6 stages each. Acupressure is unlike other status moves in that it can be targeted at itself or an adjacent teammate. It cannot be used on an ally if they are behind a Substitute , but the user can apply Acupressure to itself if behind a Substitute."
10,Aerial Ace,燕返,Flying,1,60,∞,20,"Aerial Ace deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce , Dig , Dive , Fly , Shadow Force or Sky Drop ."
11,Aeroblast,气旋攻击,Flying,2,100,95,5,"Aeroblast deals damage and has an increased critical hit ratio ( 1 ⁄ 8 instead of 1 ⁄ 24 ). Pokémon with the abilities Battle Armor or Shell Armor , or those under the effects of Lucky Chant , are protected against critical hits."
12,After You,您先请,Normal,3,—,—,15,After You forces the target to attack first in the next turn. It can be targeted at opponents or team-mates.
13,Agility,高速移动,Psychic,3,—,—,30,Agility raises the user's Speed by two stages. Stats can be raised to a maximum of +6 stages each.
14,Air Cutter,空气利刃,Flying,2,60,95,25,"Air Cutter deals damage and has an increased critical hit ratio ( 1 ⁄ 8 instead of 1 ⁄ 24 ). Pokémon with the abilities Battle Armor or Shell Armor , or those under the effects of Lucky Chant , are protected against critical hits."
15,Air Slash,空气之刃,Flying,2,75,95,15,Air Slash deals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved). Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.
16,All-Out Pummeling,全力无双激烈拳,Fighting,—,—,—,1,"All-Out Pummeling is the Fighting type Z-Move, introduced in Pokémon Sun/Moon."
17,Alluring Voice,,Fairy,2,80,100,10,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted during the turn.
18,Ally Switch,交换场地,Psychic,3,—,—,15,"Ally Switch swaps the user with its teammate. In triple battles the user must be on either end, not in the middle."
